ano;cod_agrup_prem;cod_premissa;tipo_clb;flag_ativa;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
2023;NORTE-BE;ass_med;7;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;NORTE-BE;dissidio;*;s;0;0;0;0;0;0;0;7;0;0;0;0
2023;NORTE-BE;vr;1;s;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;NORTE-BE;vr;2;s;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;NORTE-BE;vr;3;s;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;NORTE-BE;vr;4;s;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;NORTE-BE;vr;5;s;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;NORTE-BE;vr;6;s;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;NORTE-BE;vr;7;s;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;RJ;ass_med;1;s;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;RJ;ass_med;3;s;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;RJ;ass_med;4;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;RJ;ass_med;5;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;RJ;ass_med;6;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;RJ;ass_med;7;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;RJ;dissidio;*;s;0;0;7;0;0;0;0;0;0;0;0;0
2023;RJ;vr;1;s;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02
2023;RJ;vr;2;s;567,05;567,05;567,05;567,05;567,05;567,05;567,05;567,05;567,05;567,05;567,05;567,05
2023;RJ;vr;3;s;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02
2023;RJ;vr;4;s;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02
2023;RJ;vr;5;s;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02
2023;RJ;vr;6;s;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02
2023;RJ;vr;7;s;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02;869,02
2023;SELLER;ass_med;1;s;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;SELLER;ass_med;3;s;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;SELLER;ass_med;4;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;SELLER;ass_med;5;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
