ano;premissa;ativa;tipoSegmCentroCusto;segmTipoClb;empresa;agrupPremissas;tipoColaborador;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;assMed;s;a;s;;SUL_PA;7;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;dissidio;n;a;n;;C_OESTE;;7;0;0;0;0;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;CY_A_MEND;;7;0;0;0;0;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;NORTE;;7;0;0;0;0;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;NORTE-BE;;0;0;0;0;0;0;0;7;0;0;0;0
2023;dissidio;s;a;n;;RJ;;0;0;7;0;0;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;SELL_CUR;;0;0;0;0;7;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;SELL_PA_FL;;0;0;0;0;0;7;0;0;0;0;0;0
2023;dissidio;s;a;n;;SELLER;;0;0;0;0;7;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;SP;;0;0;0;0;7;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;SUL_CUR;;0;0;0;0;0;7;0;0;0;0;0;0
2023;dissidio;s;a;n;;SUL_FL;;0;0;0;0;7;0;0;0;0;0;0;0
2023;dissidio;s;a;n;;SUL_PA;;0;0;0;0;0;7;0;0;0;0;0;0
2023;encProv13Empr;s;e;s;C0042;;1;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
2023;encProv13Empr;s;e;s;C0042;;2;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
2023;encProv13Empr;s;e;s;C0217;;1;1,452;1,452;1,452;1,452;1,452;1,452;1,452;1,452;1,452;1,452;1,452;1,452
2023;encProv13Empr;s;e;s;C0217;;2;0,952;0,952;0,952;0,952;0,952;0,952;0,952;0,952;0,952;0,952;0,952;0,952
2023;encProv13Empr;s;e;s;C0219;;1;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9
2023;encProv13Empr;s;e;s;C0219;;2;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4
2023;encProv13Empr;s;e;s;C0221;;1;1,37;1,37;1,37;1,37;1,37;1,37;1,37;1,37;1,37;1,37;1,37;1,37
2023;encProv13Empr;s;e;s;C0221;;2;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87;0,87
2023;encProv13Empr;s;e;s;C0304;;1;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4
2023;encProv13Empr;s;e;s;C0304;;2;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9
2023;encProv13Empr;s;e;s;C0600;;1;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
2023;encProv13Empr;s;e;s;C0600;;2;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
2023;encProv13Empr;s;e;s;C2216;;1;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
2023;encProv13Empr;s;e;s;C2216;;2;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
2023;encProv13Empr;s;e;s;C2546;;1;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387
2023;encProv13Empr;s;e;s;C2546;;2;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887
2023;encProv13Empr;s;e;s;C3099;;1;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983
2023;encProv13Empr;s;e;s;C3099;;2;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483
2023;encProv13Empr;s;e;s;C3216;;1;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
2023;encProv13Empr;s;e;s;C3216;;2;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
2023;encProvFeriasEmpr;s;e;s;C0042;;1;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
2023;encProvFeriasEmpr;s;e;s;C0042;;2;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628;1,628
