c.custo;classe custo;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
C0042SPINB;5200503011;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503016;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504005;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504006;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504007;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504010;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504012;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504016;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504017;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504018;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504019;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504020;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504021;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504024;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504025;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200504030;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200505002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200505004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200901001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5300202001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5300202002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200201001;31.966,00;31.966,00;31.966,00;31.966,00;33.245,00;33.245,00;33.245,00;33.245,00;33.245,00;33.245,00;33.245,00;33.245,00
C0042SPIND;5200201002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200201003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200202001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200202002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200203001;1.776,00;1.776,00;1.776,00;1.776,00;1.847,00;1.847,00;1.847,00;1.847,00;1.847,00;1.847,00;1.847,00;1.847,00
C0042SPIND;5200203002;652,00;652,00;652,00;652,00;679,00;679,00;679,00;679,00;679,00;679,00;679,00;679,00
C0042SPIND;5200204001;2.664,00;2.664,00;2.664,00;2.664,00;2.771,00;2.771,00;2.771,00;2.771,00;2.771,00;2.771,00;2.771,00;2.771,00
C0042SPIND;5200204002;981,00;981,00;981,00;981,00;1.020,00;1.020,00;1.020,00;1.020,00;1.020,00;1.020,00;1.020,00;1.020,00
C0042SPIND;5200205001;9.206,00;9.206,00;9.206,00;9.206,00;9.574,00;9.574,00;9.574,00;9.574,00;9.574,00;9.574,00;9.574,00;9.574,00
C0042SPIND;5200205002;2.557,00;2.557,00;2.557,00;2.557,00;2.660,00;2.660,00;2.660,00;2.660,00;2.660,00;2.660,00;2.660,00;2.660,00
C0042SPIND;5200206003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200206050;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200207001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200207002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208001;1.400,00;1.400,00;1.600,00;1.600,00;1.600,00;1.600,00;1.600,00;1.600,00;1.600,00;1.600,00;1.600,00;1.600,00
C0042SPIND;5200208002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208003;61,00;61,00;64,00;64,00;67,00;67,00;67,00;67,00;67,00;67,00;67,00;67,00
C0042SPIND;5200208004;2.002,92;2.002,92;2.503,65;2.503,65;2.503,65;2.503,65;2.503,65;2.503,65;2.503,65;2.503,65;2.503,65;2.503,65
C0042SPIND;5200208005;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208006;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208007;0,00;0,00;1.500,00;1.500,00;1.560,00;1.560,00;1.560,00;1.560,00;1.560,00;1.560,00;1.560,00;1.560,00
C0042SPIND;5200208008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208011;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208012;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200208013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200209001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200209002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200410004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200501001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200501002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200501003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502005;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502007;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200502009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200503001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200503002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200503003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.000,00;0,00;0,00
C0042SPIND;5200503004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPIND;5200503005;200,00;200,00;200,00;200,00;200,00;200,00;200,00;200,00;200,00;200,00;200,00;200,00
